İlçe,Latitude,Longitude
Adalar,40.86862,29.12765
Arnavutköy,41.18032,28.74310
Ataşehir,40.98968,29.09217
Avcılar,40.97844,28.72365
Bahçelievler,41.01146,28.84362
Bakırköy,40.98557,28.87792
Bayrampaşa,41.04905,28.90364
Bağcılar,41.03320,28.83276
Başakşehir,41.07927,28.75136
Beykoz,41.12586,29.09767
Beylikdüzü,40.98091,28.64016
Beyoğlu,41.04410,28.95704
Beşiktaş,41.07340,29.03525
Büyükçekmece,41.02054,28.58460
Esenler,41.032557,28.888550
Esenyurt,41.039040,28.677570
Eyüpsultan,40.981410,29.218680
Fatih,41.017793,28.950691
Gaziosmanpaşa,41.058640,28.911380
Güngören,41.024710,28.872700
Kadıköy,40.986150,29.028500
Kartal,40.887330,29.184350
Kağıthane,41.079400,28.976370
Küçükçekmece,40.998104,28.782806
Maltepe,40.922658,29.134369
Pendik,40.875947,29.235306
Sancaktepe,40.996290,29.235306
Sarıyer,41.169157,29.053688
Silivri,41.074090,28.247250
Sultanbeyli,40.964450,29.265680
Sultangazi,41.107619,28.883400
Tuzla,40.816213,29.301567
Zeytinburnu,40.988775,28.900223
Çatalca,41.141562,28.461456
Çekmeköy,41.039031,29.179344
Ümraniye,41.020125,29.090767
Üsküdar,41.018900,29.011810
Şile,41.172320,29.606630
Şişli,41.052310,28.990850
