İlçe,Adana,Adıyaman,Afyonkarahisar,Ağrı,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Çanakkale,Çankırı,Çorum,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Iğdır,Isparta,İstanbul,İzmir,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kırıkkale,Kırklareli,Kırşehir,Kocaeli,Konya,Kütahya,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Şanlıurfa,Siirt,Sinop,Şırnak,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak
Adalar,106,45,44,59,15,59,145,42,63,59,29,123,47,29,49,34,136,102,54,19,164,55,44,124,27,94,36,55,118,516,209,36,117,141,28,6,107,30,34,5724,97,66,56,13,87,324,86,16,31,46,29,83,116,15,490,92,147,63,34,153,29,43,393,28,347,117,132,102,46,163,6,412,80,402,272,54,21,1036,156,70,42
Arnavutköy,1205,4360,569,7296,1315,4163,721,209,8439,791,296,804,2704,1126,1268,144,8902,4600,446,72,646,864,2456,2302,255,2787,627,1117,1925,1624,36566,313,868,7862,1108,225,1192,1489,552,24499,497,2383,1445,247,6499,13731,1817,207,576,1434,428,372,1662,347,6450,646,1711,739,139,13296,966,1332,10709,436,1663,1355,11468,1748,2720,15423,196,7890,947,8947,7977,376,151,7566,127,2426,2471
Ataşehir,4212,1577,1633,3502,1115,4508,5218,1401,5409,3201,1228,3206,2979,916,2097,1035,3626,1280,3294,384,3280,1475,8072,8244,1194,3356,1656,1331,3821,8006,7511,2119,2755,15603,6271,131,3057,1946,2378,53100,2953,3589,2556,728,17292,15850,4208,785,780,1494,1441,2240,4431,2033,10253,1511,7038,2514,883,1943,4181,3880,16639,964,9831,4336,6265,2243,1522,13528,312,41836,1693,10389,10691,4044,685,1639,643,4713,4569
Avcılar,2773,4054,1273,6758,2384,6924,2316,870,13154,2088,680,2515,1884,2185,4730,448,2563,3911,904,213,2506,2199,5997,11913,760,6755,953,3863,4381,6629,10798,1618,4162,5528,3711,563,2965,6050,951,60613,1743,3756,2065,640,10408,7593,4480,2205,2748,5358,1105,1249,4455,501,15181,1291,5635,1818,307,8771,3351,3956,8754,814,3857,2122,12098,5691,3822,6849,706,15698,4492,23551,9127,4116,423,7623,553,11043,2876
Bağcılar,2804,25561,1067,5421,1822,13949,1689,844,11109,2688,541,2060,2680,21178,10848,360,2495,44448,2063,220,1545,2801,4896,13744,470,22239,1334,3953,7411,11471,16182,937,4199,25997,6398,476,7567,9185,2078,45439,964,5377,4400,1955,14795,29881,6717,1445,2549,3430,2537,847,7820,467,33979,1282,16152,1609,225,5688,4864,5158,31846,961,4174,3004,29093,11901,12752,23789,1869,37906,3434,25800,13805,3357,1162,15663,283,8161,6373
Bahçelievler,3642,9475,1538,4241,1392,5369,2374,2489,4004,5000,1008,3560,2761,16904,10364,534,1674,5525,2904,449,2812,2756,4251,4692,1240,16568,1506,3776,7683,11747,13740,1460,5720,12856,7058,1268,7531,2543,2685,62265,1854,7437,3928,1327,8213,17386,8874,7041,1117,4320,1931,1157,10286,610,28298,1815,22734,2164,360,3204,7274,3931,12553,1372,11568,3003,14089,10070,8992,8321,695,28855,5524,22215,22962,3887,881,7901,671,4393,3797
Bakırköy,2035,1517,1017,1347,441,2111,2519,1705,1575,1062,795,2363,654,1193,763,423,468,1160,755,309,2641,1791,1111,1631,1220,3151,575,1642,2242,4180,1937,1361,2238,3978,908,234,1979,794,1055,70541,2264,1530,1029,578,1919,4774,3170,1458,497,2167,709,941,3461,586,7920,1196,5253,1435,551,569,1357,1175,4125,447,3205,1520,3529,2649,1181,1931,585,6077,2887,4759,5971,840,706,1212,485,1516,1083
Başakşehir,2437,15897,1668,6665,2380,5818,2804,1342,6650,2713,873,2377,2257,2990,2222,574,2626,15568,1188,314,2360,1876,3568,5045,1132,6856,1080,1909,5373,5552,13708,1552,3491,11364,2023,479,3935,8831,1528,44763,1773,4266,2239,959,6988,10224,7120,1177,1283,2333,1520,1134,6818,747,20869,1527,6511,2248,503,10184,2373,3357,10885,1047,4743,2520,9907,6246,4983,6827,1297,15904,2518,21205,11184,1774,738,9976,460,5361,2542
Bayrampaşa,983,2741,588,848,1118,1829,994,581,1410,741,515,3431,1406,1209,859,388,472,912,579,76,4990,2515,5157,1647,356,3075,1042,8097,1613,2389,2098,675,1519,10024,807,48,1204,242,1452,69484,1130,1414,2308,360,1339,12622,1867,374,480,10335,659,1381,2469,252,6044,1409,4198,607,144,958,996,1883,7348,457,2416,7397,7974,4634,3025,9568,94,5976,6577,2466,8864,400,257,702,460,2043,1512
Beşiktaş,2599,497,967,940,320,1673,4060,1337,670,1102,1094,2681,771,207,427,470,355,319,912,308,3160,1365,846,2082,1149,1104,554,1222,1305,3494,1491,1558,1471,5045,783,78,2175,277,913,53962,4260,1074,737,360,1221,3883,2967,316,447,1155,635,1389,2434,591,2492,1600,576,2048,792,236,965,970,3030,547,4146,1520,2829,1206,1397,1647,77,6640,1531,2295,4007,555,437,504,482,975,1052
